"","tract","year","count","population","crimerate"
"128","000901",2017,67,6130,10.9298531810767
"129","000901",2018,107,6130,17.4551386623165
"130","000901",2019,69,6130,11.2561174551387
"131","000902",2010,43,1544,27.8497409326425
"132","000902",2011,32,1544,20.7253886010363
"133","000902",2012,21,1544,13.6010362694301
"134","000902",2013,34,1544,22.020725388601
"135","000902",2014,24,1544,15.5440414507772
"136","000902",2015,23,1544,14.8963730569948
"137","000902",2016,42,1544,27.2020725388601
"138","000902",2017,38,1544,24.6113989637306
"139","000902",2018,61,1544,39.5077720207254
"140","000902",2019,60,1544,38.860103626943
"141","001001",2010,322,5918,54.4102737411288
"142","001001",2011,333,5918,56.2690098006083
"143","001001",2012,290,5918,49.0030415680973
"144","001001",2013,399,5918,67.4214261574856
"145","001001",2014,352,5918,59.4795539033457
"146","001001",2015,345,5918,58.2967218654951
"147","001001",2016,290,5918,49.0030415680973
"148","001001",2017,282,5918,47.6512335248395
"149","001001",2018,352,5918,59.4795539033457
"150","001001",2019,320,5918,54.0723217303143
"151","001002",2010,74,3226,22.938623682579
"152","001002",2011,70,3226,21.6986980781153
"153","001002",2012,79,3226,24.4885306881587
"154","001002",2013,54,3226,16.7389956602604
"155","001002",2014,69,3226,21.3887166769994
"156","001002",2015,79,3226,24.4885306881587
"157","001002",2016,54,3226,16.7389956602604
"158","001002",2017,61,3226,18.9088654680719
"159","001002",2018,88,3226,27.2783632982021
"160","001002",2019,81,3226,25.1084934903906
"161","001100",2010,265,3980,66.5829145728643
"162","001100",2011,220,3980,55.2763819095477
"163","001100",2012,330,3980,82.9145728643216
"164","001100",2013,378,3980,94.9748743718593
"165","001100",2014,323,3980,81.1557788944723
"166","001100",2015,318,3980,79.8994974874372
"167","001100",2016,307,3980,77.1356783919598
"168","001100",2017,256,3980,64.321608040201
"169","001100",2018,288,3980,72.3618090452261
"170","001100",2019,340,3980,85.4271356783919
"171","001200",2010,136,4338,31.3508529276164
"172","001200",2011,154,4338,35.5002305209774
"173","001200",2012,127,4338,29.2761641309359
"174","001200",2013,127,4338,29.2761641309359
"175","001200",2014,147,4338,33.8865836791148
